name,group,flash_point,spcode,replicate,%area
Crypton ,Ketone,87.2,abco,4,0.47
Dodecanal,Fatty aldehyde,114,abco,4,2.77
(1R)-(-)-Myrtenal,terpene aldehyde,80,abco,4,0.28
Eucarvone,monocyclic monoterpenoid,90,abco,4,NA
I-Verbenone,bicyclic ketone terpene,85,abco,4,NA
a-Citrylideneethanol,NA,104.5,abco,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abco,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abco,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,abco,4,0.91
2-Undecanone,Ketone,88.9,abco,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abco,4,NA
Terpinyl acetate,methane monoterpenoid,83,abco,4,NA
delta-elemene,sesquiterpene,99.5,abco,4,0.70
Ylangene,sesquiterpenoid,105.1,abco,4,NA
Copaene,sesquiterpenoid,105.1,abco,4,4.26
Thujopsene,sesquiterpene,105.9,abco,4,NA
cis-beta-elemene,sesquiterpene,98.3,abco,4,NA
Caryophyllene,sesquiterpene,104.9,abco,4,6.18
a-bergamotene,sesquiterpene,100.6,abco,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abco,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abco,4,NA
(-)-Aristolene,sesquiterpene,99.9,abco,4,2.60
Longifolene-(V4),sesquiterpene,95.6,abco,4,38.63
Humulene,sesquiterpene,110.2,abco,4,NA
c-Muurolene,sesquiterpene,106.5,abco,4,NA
Germacrene D,sesquiterpene,111.9,abco,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abco,4,NA
a-selinene,sesquiterpene,102,abco,4,14.26
a-cuparene,benzene,113.3,abco,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abco,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,abco,4,NA
Dodecanoic acid,fatty acid,165,abco,4,NA
Hedycaryol,terpenoid,110.9,abco,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abco,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abco,4,6.38
b-eudesmol,terpene alcohol,108.6,abco,4,NA
Z-11-Tetradecenoic acid,NA,235.3,abco,4,0.62
Z-11-Pentadecenol,NA,128.6,abco,4,NA
Hexahydrofarnesyl acetone,NA,95.1,abco,4,2.38
Geranyl-a-terpinene,NA,NA,abco,4,NA
Palmitoleic acid ,NA,239.2,abco,4,NA
Sclareol,labdane diterpenoid,169%,abco,4,0.90
3-carene,bicyclic monoterpene,46,abma,1,NA
a-pinene,monoterpene,33,abma,1,22.04
b-pinene,monoterpene,36,abma,1,NA
b-Myrcene,monoterpene,39.4,abma,1,NA
a-Phellandrene,cyclic monoterpene,47.2,abma,1,32.02
D-Limonene,cyclic monoterpene,50,abma,1,NA
c-Terpinene,cyclic monoterpene,100,abma,1,NA
2-Carene,bicyclic monoterpene,38,abma,1,NA
Terpinolene,cyclic monoterpene,100,abma,1,NA
Pinocarvone,bicyclic monoterpene,85,abma,1,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abma,1,NA
Crypton ,Ketone,87.2,abma,1,NA
Dodecanal,Fatty aldehyde,114,abma,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,abma,1,NA
