name,group_more,group_less,terpene,flash_point,Abco 1,Abco 2,Abco 3,Abco 4,Abma 1,Abma 2,Abma 3,Abma 4,Cade 1,Cade 2,Cade 3,Cade 4,Pije 1,Pije 2,Pije 3,Pije 4,Pila 1,Pila 2,Pila 3,Pila 4,Pipo 1,Pipo 2,Pipo 3,Pipo 4,Quke 1,Quke 2,Quke 3,Quke 4,Segi 1,Segi 2,Segi 3,Segi 4
a-Terpinene,cyclic monoterpene,monoterpene,1,50,0,0,0,0,0,0,0,0,875679292.7,636941115.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",Carboxylic Acid,carboxylic acid,0,82.6,0,0,0,0,0,0,0,0,2072615495,2309895929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d-Elemene,sesquiterpene,sesquiterpene,1,99.5,194711109.8,3791746045,2857986675,147113006.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-Limonene,cyclic monoterpene,monoterpene,1,50,0,0,0,0,0,0,0,0,19260431389,7861907983,7120150316,456911571.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3905122298,0,0,47786598.34
Dodecanal,Fatty aldehyde,aldehyde,0,101,385102931,7216189186,4410698837,579088854,0,1050180501,46044326.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25710633.9,0,0,916699651.6,237996535.7,0
Dodecanoic acid,fatty acid,fatty acid,0,165,0,0,0,0,0,0,0,0,0,806365888.6,0,0,3651513150,1919931310,0,181468275.6,0,0,882974107.9,145769376,0,0,0,0,0,0,0,0,2015606628,0,0,0
Eucarvone,monocyclic monoterpenoid,monoterpenoid,2,90,0,0,0,0,0,0,0,0,0,1255515439,693843167.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranyl-a-Terpinene,Diterpene,diterpene,1,150.9,0,0,0,0,0,0,0,0,0,0,0,0,2510751396,1097866133,0,70731505.29,0,0,0,0,0,547896682.8,1749719383,0,0,0,0,0,0,0,0,0
Germacrene D,sesquiterpene,sesquiterpene,1,111.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1218328057,0,0,0,0,0,0,361267913.2,1009043859,12482200749,27714721.36,0,0,0,0,0,0,0,0
Hedycaryol,sesquiterpene,sesquiterpene,1,110.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7375222246,1901017169,0
Isoledene,sesquiterpene,sesquiterpene,1,102.7,0,0,0,0,145776489.5,1538621897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-Verbenone,bicyclic ketone ,ketone,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760232826,234651097.3,89154169.05,0
Longifolene-(V4),sesquiterpene,sesquiterpene,1,95.6,11303194662,0,5673187255,7754936663,0,0,0,0,2587534197,2437062439,4223215830,0,1290621786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5046332532,0,0
Myrcene,monoterpene,monoterpene,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4160934264,1573156588,0,0
Palmitoleic acid,Fatty acid,fatty acid,0,62,178476597.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143526095.8,0,1951400221,0,0,0,0,0,0,0,0,1033346253,321744914.1,0
Phellandral,methane monoterpenoid,monoterpenoid,2,83.6,201777217.9,1827440110,1218251406,190929571.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinocarvone,bicyclic monoterpene,monoterpene,1,85,0,1714384918,1692629421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137237559,0,0,0
Sclareol,labdane diterpenoid alcohol,diterpenoid,2,169,444863039.2,0,0,187488265.1,118294131.1,669134057.4,120816919.7,61482164.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spathulenol,sesquiterpenoid alcohol,sesquiterpenoid,2,123.9,0,882017861.1,0,0,0,0,0,0,0,0,0,0,2918785637,1248582098,0,0,0,0,0,0,0,437319204,1540377264,30131579.89,0,0,0,0,0,0,0,0
Terpinen-4-ol,methane monoterpenoid,monoterpenoid,2,79.4,0,0,0,0,0,0,0,0,24838922171,17071809326,8751261152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terpinolene,cyclic monoterpene,monoterpene,1,64,0,0,0,0,0,0,0,0,3399220709,5169913098,3133808403,58575058.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terpinyl acetate,methane monoterpenoid,monoterpenoid,2,100,0,0,0,0,0,0,0,0,6998796468,12343432668,4562212737,93077514.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thujopsene,sesquiterpene,sesquiterpene,1,105.9,0,0,0,0,0,0,0,0,4438949482,3534550770,3659765785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trans-Geranylacetone,acyclic monoterpenoid ketone,monoterpenoid,2,107.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45422167.14,37504930.56,496904308.4,355405865.7,32489607.22,0,361412700.8,1689465881,24547435.46,49745434.46,319625806.1,0,97212459.2,1051569275,1980107670,598599601,0
trans-Sesquisabinene hydrate,sesquiterpenoid alcohol,sesquiterpenoid,2,125.4,796544823.8,1377924890,0,648360396.3,0,0,0,0,0,343504373,0,118743252.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",Carboxylic Acid,carboxylic acid,0,136.5,0,0,0,0,0,0,0,0,0,0,6807929878,26521828.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z-11-Pentadecenol,Alcohol,alcohol,0,128.6,0,0,0,0,0,0,0,0,0,0,0,0,1937328213,0,0,0,0,0,0,0,3966267306,868603016.3,0,0,0,0,0,0,0,0,0,0
Z-11-Tetradecenoic acid,fatty acid,fatty acid,0,235.3,289406395.7,0,3947291586,129077272,67407630.6,0,52636200.47,0,0,0,0,0,0,748251502.9,3104715701,59106493.96,218659893.9,1616640108,1319380700,212588196.5,0,0,0,50874645.06,0,0,0,0,0,0,447417923.7,88086823.04
Z-7-Tetradecenoic acid,fatty acid,fatty acid,0,241.7,0,0,0,0,0,479229837.3,0,0,2371967414,301559664.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684731810,0,0
