"Plot Title: 1253388 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
165,08/20/15 11:01:11.843 AM,22.63,,,,,,
166,08/20/15 11:01:12.843 AM,22.63,,,,,,
167,08/20/15 11:01:13.843 AM,22.63,,,,,,
168,08/20/15 11:01:14.843 AM,22.29,,,,,,
169,08/20/15 11:01:15.843 AM,22.29,,,,,,
170,08/20/15 11:01:16.843 AM,22.63,,,,,,
171,08/20/15 11:01:17.843 AM,22.29,,,,,,
172,08/20/15 11:01:18.843 AM,22.29,,,,,,
173,08/20/15 11:01:19.843 AM,22.63,,,,,,
174,08/20/15 11:01:20.843 AM,22.63,,,,,,
175,08/20/15 11:01:21.843 AM,22.29,,,,,,
176,08/20/15 11:01:22.843 AM,22.63,,,,,,
177,08/20/15 11:01:23.843 AM,22.63,,,,,,
178,08/20/15 11:01:24.843 AM,22.63,,,,,,
179,08/20/15 11:01:25.843 AM,22.63,,,,,,
180,08/20/15 11:01:26.843 AM,22.63,,,,,,
181,08/20/15 11:01:27.843 AM,22.29,,,,,,
182,08/20/15 11:01:28.843 AM,22.29,,,,,,
183,08/20/15 11:01:29.843 AM,22.29,,,,,,
184,08/20/15 11:01:30.843 AM,22.29,,,,,,
185,08/20/15 11:01:31.843 AM,22.63,,,,,,
186,08/20/15 11:01:32.843 AM,22.63,,,,,,
187,08/20/15 11:01:33.843 AM,22.29,,,,,,
188,08/20/15 11:01:34.843 AM,22.63,,,,,,
189,08/20/15 11:01:35.843 AM,22.29,,,,,,
190,08/20/15 11:01:36.843 AM,22.63,,,,,,
191,08/20/15 11:01:37.843 AM,22.29,,,,,,
192,08/20/15 11:01:38.843 AM,22.29,,,,,,
193,08/20/15 11:01:39.843 AM,22.29,,,,,,
194,08/20/15 11:01:40.843 AM,22.63,,,,,,
195,08/20/15 11:01:41.843 AM,22.63,,,,,,
196,08/20/15 11:01:42.843 AM,22.63,,,,,,
197,08/20/15 11:01:43.843 AM,22.63,,,,,,
198,08/20/15 11:01:44.843 AM,22.63,,,,,,
199,08/20/15 11:01:45.843 AM,22.29,,,,,,
200,08/20/15 11:01:46.843 AM,22.63,,,,,,
201,08/20/15 11:01:47.843 AM,22.63,,,,,,
202,08/20/15 11:01:48.843 AM,22.63,,,,,,
203,08/20/15 11:01:49.843 AM,22.63,,,,,,
204,08/20/15 11:01:50.843 AM,22.63,,,,,,
205,08/20/15 11:01:51.843 AM,22.63,,,,,,
206,08/20/15 11:01:52.843 AM,22.63,,,,,,
207,08/20/15 11:01:53.843 AM,22.29,,,,,,
208,08/20/15 11:01:54.843 AM,22.63,,,,,,
209,08/20/15 11:01:55.843 AM,22.29,,,,,,
210,08/20/15 11:01:56.843 AM,22.29,,,,,,
211,08/20/15 11:01:57.843 AM,22.63,,,,,,
212,08/20/15 11:01:58.843 AM,22.29,,,,,,
213,08/20/15 11:01:59.843 AM,22.29,,,,,,
214,08/20/15 11:02:00.843 AM,22.29,,,,,,
215,08/20/15 11:02:01.843 AM,22.63,,,,,,
216,08/20/15 11:02:02.843 AM,22.63,,,,,,
217,08/20/15 11:02:03.843 AM,22.29,,,,,,
218,08/20/15 11:02:04.843 AM,22.29,,,,,,
219,08/20/15 11:02:05.843 AM,22.63,,,,,,
220,08/20/15 11:02:06.843 AM,22.63,,,,,,
221,08/20/15 11:02:07.843 AM,22.63,,,,,,
222,08/20/15 11:02:08.843 AM,22.29,,,,,,
223,08/20/15 11:02:09.843 AM,22.63,,,,,,
224,08/20/15 11:02:10.843 AM,22.63,,,,,,
225,08/20/15 11:02:11.843 AM,22.29,,,,,,
226,08/20/15 11:02:12.843 AM,22.63,,,,,,
227,08/20/15 11:02:13.843 AM,22.63,,,,,,
228,08/20/15 11:02:14.843 AM,22.29,,,,,,
229,08/20/15 11:02:15.843 AM,22.63,,,,,,
230,08/20/15 11:02:16.843 AM,22.63,,,,,,
231,08/20/15 11:02:17.843 AM,22.63,,,,,,
232,08/20/15 11:02:18.843 AM,22.29,,,,,,
233,08/20/15 11:02:19.843 AM,22.63,,,,,,
234,08/20/15 11:02:20.843 AM,22.63,,,,,,
