nid,spcode,moisture,MC_dry,actualMC_dry,day,month,year,time,t2ignit,ignit.x,ignit.y,sustain,combust,consum.x,consum.y,spread.x,spread.y,rh,temp,hour,T_C
83,Pila,10,10,9.8,21,7,2015,14:24,3.55,1,1,781.84,780,50.1,43.83,2.12,0.211957213,50.4,88.5,96,31.4
84,Pila,15,10,NA,14,8,2015,12:01,5.18,1,NA,NA,NA,31.76,NA,1.829,NA,39,93.2,NA,NA
85,Pila,15,20,19.6,14,8,2015,14:19,3.91,1,1,699.54,660,67.51,63.45,2.762,0.276151552,35.3,95.6,72,35.3
86,Pila,15,20,13,31,8,2015,12:01,2.13,1,1,473.05,440,22.67,13,1.184,0.118380721,39.6,84.2,72,29
87,Pila,15,20,18.6,31,8,2015,14:11,2.61,1,1,793.86,790,82.33,80.13,2.012,0.201150581,29.2,89.9,72,32.2
88,Pila,15,20,21.7,11,9,2015,12:46,4.16,0,0,0,0,0,0,0,0,42.5,84,72,28.9
89,Pila,20,25,24.4,14,8,2015,13:17,5.63,1,1,343.38,430,11.62,0.57,0.815,0.081542315,38.3,94,48,34.4
90,Pila,20,25,20.2,14,8,2015,15:30,3.51,1,1,601.25,930,78.07,75.33,3.063,0.306316241,33.5,97.7,48,36.5
91,Pila,20,25,20,20,8,2015,11:55,3.1,1,1,366.27,380,3.31,6.33,1.831,0.1830689,46.6,76.1,48,24.5
92,Pila,20,25,30.4,20,8,2015,13:43,8.13,0,0,0,0,0,0,0,0,47.1,76.8,48,24.9
93,Pila,20,25,23.8,31,8,2015,12:55,4.78,1,1,116.47,390,2.73,2.73,0.773,0.077273118,32,86.8,48,30.4
94,Pila,25,35,39.2,23,4,2015,11:55,18.42,1,0,73,0,6.1,6.13,0,0,73.4,65,48,18.3
95,Pila,25,35,48.8,23,4,2015,12:23,24.26,1,0,29.48,450,11,11,0,0,73,65.5,48,18.6
96,Pila,25,35,18.9,27,7,2015,11:50,4.73,1,1,366.9,660,25.3,15.93,1.717,0.171708913,45.5,92.8,48,33.8
97,Pila,25,35,34.6,27,7,2015,14:30,7.12,1,1,712.3,680,79.4,76.88,2.267,0.226654578,36.7,98.5,48,36.9
98,Pila,25,35,24.7,3,8,2015,11:46,5.5,1,1,1949.5,520,24.9,15.55,0.251,0.02513465,48,87.8,48,31
99,Pila,25,35,34.8,3,8,2015,14:05,12.67,0,0,0,0,0,0,0,0,44.4,93.3,48,34.1
100,Pila,30,45,41.8,11,9,2015,11:47,5.8,0,0,0,0,0,0,0,0,42.6,81.3,24,27.4
101,Pila,30,45,34.3,11,9,2015,13:25,5.5,0,0,0,0,0,0,0,0,37.7,85.1,24,29.5
102,Pila,35,55,NA,0,0,2015,2:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
103,Pila,40,65,NA,0,0,2015,3:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
104,Pipo,10,10,12.2,27,7,2015,13:17,5.37,1,1,1426.6,810,88.3,86.85,1.289,0.128910278,40.7,96.1,72,35.6
105,Pipo,10,10,9,27,7,2015,15:58,2.61,1,1,841.7,920,84.9,82.98,1.967,0.196695515,32.8,99.7,72,37.6
106,Pipo,10,10,21.2,14,8,2015,11:38,7.88,1,1,788.63,1050,93.82,93.05,2.049,0.204912434,47,87.5,72,30.8
107,Pipo,10,10,16.2,14,8,2015,13:56,6.8,1,1,844.01,1010,91.58,90.53,2.285,0.228456548,34.9,96.8,72,36
108,Pipo,10,10,10.3,17,8,2015,14:47,4.78,1,1,677,1100,91.18,90.08,2.473,0.247312537,32.1,91.3,72,32.9
109,Pipo,15,10,NA,25,8,2015,11:15,3.95,1,NA,NA,NA,73.6,NA,1.954,NA,57.1,81.1,NA,NA
110,Pipo,15,20,16.8,25,8,2015,12:48,5.03,1,1,865.7,930,81.02,78.65,1.833,0.183286697,46,88.7,72,31.5
111,Pipo,15,20,18.3,31,8,2015,12:19,5.23,1,1,773.35,920,83.89,81.88,2.203,0.220296666,38.1,84.3,72,29.1
112,Pipo,15,20,15.1,31,8,2015,14:35,3.45,1,1,606.49,1070,92.91,92.03,0.818,0.081782057,28.1,90.5,72,32.5
