hour,rep,wet_weight,dry_weight,spcode,MC_wet,MC_dry,bd
25,2_2,14.5,9.1,Cade,37.2,59.3,0.104282536
25,2_3,14.7,9.6,Cade,34.7,53.1,0.104282536
25,2_1,12.8,10.3,Pije,19.5,24.3,0.028426319
25,2_2,12.8,10.9,Pije,14.8,17.4,0.028426319
25,2_3,13.8,9.9,Pije,28.3,39.4,0.028426319
25,2_1,11.9,6.8,Pila,42.9,75,0.028136255
25,2_2,12.1,6.5,Pila,46.3,86.2,0.028136255
25,2_3,11.7,5.4,Pila,53.8,116.7,0.028136255
25,2_1,13.1,8.5,Pipo,35.1,54.1,0.029333542
25,2_2,12.1,8.7,Pipo,28.1,39.1,0.029333542
25,2_3,12.1,8.2,Pipo,32.2,47.6,0.029333542
25,2_1,12.4,2.9,Quke,76.6,327.6,0.025799794
25,2_2,13.3,4.9,Quke,63.2,171.4,0.025799794
25,2_3,13,3.9,Quke,70,233.3,0.025799794
25,2_1,13.2,9.4,Segi,28.8,40.4,0.088946869
25,2_2,11.2,9.4,Segi,16.1,19.1,0.088946869
25,2_3,12.2,8.3,Segi,32,47,0.088946869
28.5,2_1,14,11,Abco,21.4,27.3,0.051824212
28.5,2_2,14,11.2,Abco,20,25,0.051824212
28.5,2_3,15.4,12.1,Abco,21.4,27.3,0.051824212
28.5,2_1,11.3,7.5,Abma,33.6,50.7,0.049603175
28.5,2_2,11.8,7.7,Abma,34.7,53.2,0.049603175
28.5,2_3,12.1,8.2,Abma,32.2,47.6,0.049603175
28.5,2_1,14.2,8.7,Cade,38.7,63.2,0.104282536
28.5,2_2,14.2,9.1,Cade,35.9,56,0.104282536
28.5,2_3,14.1,9.2,Cade,34.8,53.3,0.104282536
28.5,2_1,12.3,9.4,Pije,23.6,30.9,0.028426319
28.5,2_2,13.6,11,Pije,19.1,23.6,0.028426319
28.5,2_3,13.7,7.8,Pije,43.1,75.6,0.028426319
28.5,2_1,14.6,6.2,Pila,57.5,135.5,0.028136255
28.5,2_2,13.7,8.4,Pila,38.7,63.1,0.028136255
28.5,2_3,13,7.5,Pila,42.3,73.3,0.028136255
28.5,2_1,12.6,9.7,Pipo,23,29.9,0.029333542
28.5,2_2,13.9,10.7,Pipo,23,29.9,0.029333542
28.5,2_3,14.9,11.7,Pipo,21.5,27.4,0.029333542
28.5,2_1,12.1,4.6,Quke,62,163,0.026074259
28.5,2_2,14.3,4,Quke,72,257.5,0.026074259
28.5,2_3,13.5,5,Quke,63,170,0.026074259
28.5,2_1,11.6,9.4,Segi,19,23.4,0.087657784
28.5,2_2,11.9,8.9,Segi,25.2,33.7,0.087657784
28.5,2_3,11.1,8.4,Segi,24.3,32.1,0.087657784
46,2_1,12,10.1,Abco,15.8,18.8,0.045093795
46,2_2,12.4,10.9,Abco,12.1,13.8,0.045093795
46,2_3,13,10.7,Abco,17.7,21.5,0.045093795
46,2_1,12.5,9.9,Abma,20.8,26.3,0.046921922
46,2_2,14.4,10.7,Abma,25.7,34.6,0.046921922
46,2_3,14.2,11.4,Abma,19.7,24.6,0.046921922
46,2_1,14.9,9.7,Cade,34.9,53.6,0.099153887
46,2_2,12,7.7,Cade,35.8,55.8,0.099153887
46,2_3,13.5,8.6,Cade,36.3,57,0.099153887
46,2_1,12.8,11.7,Pije,8.6,9.4,0.026770417
46,2_2,14,12.5,Pije,10.7,12,0.026770417
46,2_3,12.9,10,Pije,22.5,29,0.026770417
46,2_1,11.3,10.3,Pila,8.8,9.7,0.027032872
46,2_2,14.3,9.9,Pila,30.8,44.4,0.027032872
46,2_3,12.2,9.5,Pila,22.1,28.4,0.027032872
46,2_1,15.3,10.2,Pipo,33.3,50,0.027573529
46,2_2,15.4,13.7,Pipo,11,12.4,0.027573529
46,2_3,14.3,13,Pipo,9.1,10,0.027573529
46,2_1,13.1,6.1,Quke,53.4,114.8,0.025531046
46,2_2,14.8,4.6,Quke,68.9,221.7,0.025531046
46,2_3,14.3,5,Quke,65,186,0.025531046
46,2_1,14.1,11.5,Segi,18.4,22.6,0.084005376
46,2_2,13.7,11.4,Segi,16.8,20.2,0.084005376
46,2_3,14.9,11.7,Segi,21.5,27.4,0.084005376
52,2_1,11.7,9.9,Abco,15.4,18.2,0.045093795
52,2_2,11.6,9.7,Abco,16.4,19.6,0.045093795
52,2_3,13.6,11.9,Abco,12.5,14.3,0.045093795
52,2_1,12.3,10,Abma,18.7,23,0.04451567
52,2_2,13.5,10.7,Abma,20.7,26.2,0.04451567
52,2_3,12.3,9.8,Abma,20.3,25.5,0.04451567
52,2_1,14.5,10.5,Cade,27.6,38.1,0.096006144
52,2_2,12.8,9.7,Cade,24.2,32,0.096006144
52,2_3,13.4,10.1,Cade,24.6,32.7,0.096006144
52,2_1,14.4,12.8,Pije,11.1,12.5,0.026012764
52,2_2,12.7,11.7,Pije,7.9,8.5,0.026012764
52,2_3,11.2,10.2,Pije,8.9,9.8,0.026012764
52,2_1,11.1,8.9,Pila,19.8,24.7,0.027300524
52,2_2,13.7,12,Pila,12.4,14.2,0.027300524
52,2_3,12.5,10.5,Pila,16,19,0.027300524
52,2_1,14.4,13.2,Pipo,8.3,9.1,0.026770417
52,2_2,12.5,11.4,Pipo,8.8,9.6,0.026770417
52,2_3,13.9,12.6,Pipo,9.4,10.3,0.026770417
52,2_1,11.8,5.7,Quke,51.7,107,0.025267839
52,2_2,11.9,4.5,Quke,62.2,164.4,0.025267839
52,2_3,12.2,5.5,Quke,54.9,121.8,0.025267839
52,2_1,12,10.4,Segi,13.3,15.4,0.079584041
52,2_2,11.9,10.7,Segi,10.1,11.2,0.079584041
52,2_3,12,10.8,Segi,10,11.1,0.079584041
0,3_1,10.2,5.5,Abco,46.1,85.5,0.05787037
0,3_2,10.2,5.3,Abco,48,92.5,0.05787037
0,3_3,13.9,8.1,Abco,41.7,71.6,0.05787037
0,3_1,14.3,7.8,Abma,45.5,83.3,0.051824212
0,3_2,13.8,8.1,Abma,41.3,70.4,0.051824212
0,3_3,13.7,6.7,Abma,51.1,104.5,0.051824212
0,3_1,11.2,5.3,Cade,52.7,111.3,0.118595825
0,3_2,10.8,5.1,Cade,52.8,111.8,0.118595825
0,3_3,11.3,6,Cade,46.9,88.3,0.118595825
0,3_1,11.4,4.3,Pije,62.3,165.1,0.029648956
0,3_2,10.3,4,Pije,61.2,157.5,0.029648956
0,3_3,10.6,4.1,Pije,61.3,158.5,0.029648956
0,3_1,10.6,2.8,Pila,73.6,278.6,0.031333556
0,3_2,10,3.4,Pila,66,194.1,0.031333556
0,3_3,11.3,3.2,Pila,71.7,253.1,0.031333556
0,3_1,11.2,4.2,Pipo,62.5,166.7,0.030637255
