spcode,hour,day,month,time,t2ignit,sustain,combust,consum,spread,rh,T_C,type
AbCaPi,24,7,7,11:06,14.26,48.72,430,3.62,0.328,47.3,29.8,Mixture
AbPiQu,24,7,7,11:12,8.72,142.45,260,3.42,0.063,46.9,29.9,Mixture
AbCaQu,72,7,7,11:22,3.65,505.08,560,32.84,0.407,45.7,30.6,Mixture
CaPiQu,72,7,7,11:40,2.99,389.82,770,46.11,0.45,44.5,31.3,Mixture
AbPiQu,72,7,7,11:56,3.13,499.7,1060,83.98,0.548,42.9,31.9,Mixture
AbCaPi,72,7,7,12:14,8.87,1308.31,730,89.8,0.126,40.1,33.1,Mixture
CaPiQu,48,7,7,12:45,4.85,124.19,440,8.62,0.33,39.1,33.9,Mixture
AbCaQu,48,7,7,12:54,4.98,45.84,270,12.8,0.414,38.2,33.9,Mixture
AbCaPi,48,7,7,13:00,5.16,162.28,310,14.27,0.117,37.5,33.9,Mixture
AbCaQu,72,7,7,13:16,2.85,377.73,480,20.67,0.199,36.3,34.2,Mixture
CaPiQu,72,7,7,13:31,4.08,400.35,890,44.98,0.489,34.6,34.7,Mixture
AbPiQu,72,7,7,13:47,2.8,502.28,1100,85.76,0.525,32.4,35.1,Mixture
AbCaPi,72,7,7,14:07,7.25,997.51,820,88.24,0.169,28.4,36.6,Mixture
AbPiQu,96,18,7,11:46,2.81,676.63,840,83.96,0.296,48.2,30.4,Mixture
AbCaPi,96,18,7,12:06,7.46,1463.98,750,81.47,0.11,43.9,31.8,Mixture
AbCaQu,96,18,7,12:30,3.31,326.4,420,18,0.116,40.9,32.3,Mixture
CaPiQu,96,18,7,12:52,5.86,594.62,560,43.4,0.146,37,32.3,Mixture
AbCaPi,72,18,7,13:11,9.2,1135.53,760,82.11,0.141,36.9,32.5,Mixture
AbPiQu,72,18,7,13:28,4.76,685.47,970,80.22,0.346,35.3,33.4,Mixture
AbCaQu,72,18,7,13:58,5.66,472.18,790,48.24,0.216,33.1,33.8,Mixture
CaPiQu,72,18,7,14:16,3.66,525.93,710,41.93,0.255,31,33.9,Mixture
AbCaPi,96,18,7,14:49,6.77,910.4,710,79.64,0.178,29,34.2,Mixture
AbCaQu,96,18,7,15:14,2.98,448.09,470,42.29,0.378,28.2,34.8,Mixture
AbPiQu,96,18,7,15:31,5.99,545.13,950,76.13,0.378,26.6,35,Mixture
CaPiQu,96,18,7,15:48,3.55,587.07,810,52.24,0.31,26.5,35.3,Mixture
AbCaPi,96,18,7,16:06,4.88,1041.04,780,82.13,0.168,28.5,35.7,Mixture
AbCaQu,96,18,7,16:29,4.06,528.81,580,43.07,0.531,25.5,36.5,Mixture
AbPiQu,96,18,7,16:46,3.51,369.4,1070,85.24,0.489,27.3,36.4,Mixture
CaPiQu,96,18,7,17:02,2.86,451.03,980,67.04,0.41,24.4,36.8,Mixture
