spcode,rep,bag_w,wet_weight,dry_weight,MC_dry,hour,bd,type
AbPiQu,5,6.9,25.9,17.4,80.95238095,48,0.026012764,Mixture
AbPiQu,6,7.4,28.2,18.6,85.71428571,48,0.025531046,Mixture
AbPiQu,1,7.2,18.6,13.6,78.125,72,0.024187307,Mixture
AbPiQu,2,7.1,26.7,19.6,56.8,72,0.023976982,Mixture
AbPiQu,3,6.8,26.1,19.3,54.4,72,0.023976982,Mixture
AbPiQu,4,7.4,25.4,17.5,78.21782178,72,0.023770284,Mixture
AbPiQu,1,6.6,23.7,18.6,42.5,96,0.022058824,Mixture
AbPiQu,2,6.7,21.5,17.5,37.03703704,96,0.021883754,Mixture
AbPiQu,3,7.1,20.7,16.2,49.45054945,96,0.023770284,Mixture
AbPiQu,4,6.8,18.7,15.1,43.37349398,96,0.023770284,Mixture
AbPiQu,5,6.9,18.1,14.8,41.7721519,96,0.022058824,Mixture
AbPiQu,6,6.6,18.3,14.7,44.44444444,96,0.022601254,Mixture
CaPiQu,1,7.4,27.5,14,204.5454545,0,0.041154522,Mixture
CaPiQu,2,7.2,25.9,14,175,0,0.041778075,Mixture
CaPiQu,3,7.3,25.7,13,222.8070175,0,0.04308364,Mixture
CaPiQu,4,7,28.2,15.1,161.7283951,0,0.041778075,Mixture
CaPiQu,5,7.3,29.3,13.8,238.4615385,0,0.042420814,Mixture
CaPiQu,6,6.7,26.9,13.7,188.5714286,0,0.041154522,Mixture
CaPiQu,1,7.2,23.1,13.5,152.3809524,24,0.039961637,Mixture
CaPiQu,2,7.3,22.6,14.2,121.7391304,24,0.038296569,Mixture
CaPiQu,3,7.3,25.4,15,135.0649351,24,0.039390756,Mixture
CaPiQu,4,7.2,25.1,16.3,96.7032967,24,0.038835957,Mixture
CaPiQu,5,7.2,23.9,14.7,122.6666667,24,0.039390756,Mixture
CaPiQu,6,7,24.5,15.2,113.4146341,24,0.038835957,Mixture
CaPiQu,1,7.2,22.1,14.9,93.50649351,48,0.037261526,Mixture
CaPiQu,2,7.1,25.3,16.2,100,48,0.03628096,Mixture
CaPiQu,3,7.4,24.2,15.1,118.1818182,48,0.037261526,Mixture
CaPiQu,4,7.1,23.7,14.9,112.8205128,48,0.038296569,Mixture
CaPiQu,1,7.2,19.7,13.4,101.6129032,72,0.034041394,Mixture
CaPiQu,2,7.4,25.7,16.7,96.77419355,72,0.034041394,Mixture
CaPiQu,3,7.2,28.8,19.6,74.19354839,72,0.029024768,Mixture
CaPiQu,4,7.1,26.3,17.4,86.40776699,72,0.033626255,Mixture
CaPiQu,1,7.4,20.9,14.3,95.65217391,96,0.033626255,Mixture
CaPiQu,2,7.1,23.9,17.2,66.33663366,96,0.032062244,Mixture
CaPiQu,3,7.2,19.3,14.4,68.05555556,96,0.032062244,Mixture
CaPiQu,4,7.1,21.6,15.5,72.61904762,96,0.03282563,Mixture
CaPiQu,5,7.2,20.5,15.3,64.19753086,96,0.032062244,Mixture
CaPiQu,6,7.4,20.2,14.8,72.97297297,96,0.03282563,Mixture
