tag,spcode,year,alt,asp,li,lf,ldrate,lti,ltf,ltdrate,wi,wf,wdrate,display.name
66,Pipo,2,l,s,180.6666667,33.5,0.842554137,301.0103648,37.34802221,1.043432371,2,2.4,-0.091160778,P. ponderosa
67,Pipo,1,l,n,183.1,64.21405405,1.047810354,437.017495,103.1118097,1.444159298,2,1.7,0.162518929,P. ponderosa
68,Pipo,2,l,n,162,69.40909091,0.423789242,288.6095657,78.71196594,0.649639801,2,1.7,0.081259465,P. ponderosa
69,Pipo,1,h,n,195.5555556,145.2616667,0.297307797,327.5146702,169.3890833,0.659334512,2,1.8,0.105360516,P. ponderosa
70,Pipo,2,h,n,176,100.7205,0.279067321,291.6240762,82.52846331,0.631161159,2,1.5,0.143841036,P. ponderosa
71,Pipo,1,h,s,169.75,51.87384615,1.185512031,308.4303641,67.9157853,1.513227607,2,1,0.693147181,P. ponderosa
72,Pipo,2,h,s,187.5555556,33.66744186,0.858771922,295.5615991,39.56089016,1.005518132,2,1.6,0.111571776,P. ponderosa
73,Pila,1,m,s,115.1666667,103.4275,0.10750947,271.7759827,173.252883,0.450225855,2,1.6,0.223143551,P. lambertiana
74,Pila,1,m,n,124.2142857,94.7785,0.270465594,229.9489021,165.9211226,0.326344609,2,1.6,0.223143551,P. lambertiana
75,Pila,2,m,n,93.75,57.72910714,0.242435081,216.9594838,73.04344385,0.54432812,2,1.3,0.215391458,P. lambertiana
76,Pila,2,m,s,96.68,41.525,0.42255545,207.6938226,46.97244601,0.743251907,2,1.4,0.178337472,P. lambertiana
77,Pila,1,l,s,104.2916667,38.2545122,1.002929942,245.8830811,55.59754501,1.486717097,2,1.9,0.051293294,P. lambertiana
78,Pila,0,l,s,96.95454545,NA,NA,177.3927595,NA,NA,NA,NA,NA,P. lambertiana
79,Pila,1,l,n,104.92,66.50586207,0.45590806,256.7051712,114.757375,0.805108116,2,1.6,0.223143551,P. lambertiana
80,Pila,2,l,n,97.08,26.46447917,0.649865978,188.9874879,31.27097867,0.899495172,2,1.7,0.081259465,P. lambertiana
81,Pila,2,h,n,104.1363636,54.04745098,0.327919423,211.4343141,64.24852553,0.595577802,2,1.6,0.111571776,P. lambertiana
82,Pila,1,h,n,100.6,79.1436,0.239888334,187.6358745,101.9388097,0.610130518,2,1.7,0.162518929,P. lambertiana
83,Pila,1,h,s,101.9333333,66.92510638,0.420744826,253.610195,93.39741479,0.998934757,2,1.4,0.356674944,P. lambertiana
84,Pila,2,h,s,102.5714286,49.2495,0.366830102,210.3642002,71.20889023,0.541611321,2,0.9,0.399253848,P. lambertiana
85,Abma,1,m,s,62.645,13.18284404,1.55856758,79.08254531,18.92837689,1.429829966,2,1.4,0.356674944,A. magnifica
86,Abma,2,m,n,53.50333333,12.8021,0.715067369,69.10979742,12.29922676,0.863080056,2,1.6,0.111571776,A. magnifica
87,Abma,1,m,n,83.56,13.35139344,1.83394418,156.8932739,17.80992783,2.175809745,2,1.5,0.287682072,A. magnifica
88,Abma,2,m,s,117.1,13.59547368,1.076645675,141.0843373,12.72819717,1.202769033,2,1.6,0.111571776,A. magnifica
89,Abma,2,l,s,55.70666667,13.75135593,0.699481198,70.78393337,13.49364862,0.828706472,2,2.2,-0.04765509,A. magnifica
90,Abma,1,l,s,91.98,12.29442177,2.012425517,97.85106383,13.29148897,1.996322662,2,1.8,0.105360516,A. magnifica
91,Abma,1,l,n,97.685,14.51071942,1.906860369,99.1909688,15.2245615,1.874136958,2,1.6,0.223143551,A. magnifica
92,Abma,2,l,n,56.78333333,12.285,0.765431925,62.40675313,10.76303322,0.87877804,2,1.7,0.081259465,A. magnifica
93,Abma,1,h,n,49.07666667,11.19213793,1.47817214,116.4721985,10.40218672,2.415636559,2,1.5,0.287682072,A. magnifica
94,Abma,2,h,n,60.32333333,13.66837079,0.742317261,72.22965461,17.26528222,0.715576507,2,1.5,0.143841036,A. magnifica
95,Abma,2,h,s,65.15,11.15320755,0.882482587,71.02939068,12.7802996,0.857594427,2,1.4,0.178337472,A. magnifica
96,Abma,0,h,s,80.905,NA,NA,89.02765805,NA,NA,NA,NA,NA,A. magnifica
100,Abco,1,m,n,96.378,23.08853147,1.428941939,217.3447426,43.83530096,1.601045318,2,1.8,0.105360516,A. concolor
101,Abco,1,m,n,73.7575,18.69128205,1.37272547,184.3110094,31.63751807,1.762280902,2,1.5,0.287682072,A. concolor
102,Abco,1,m,n,88.06666667,20.09790244,1.47747865,227.0862613,40.68364533,1.719503774,2,1.5,0.287682072,A. concolor
103,Abco,2,m,n,101.1366667,19.1669863,0.831641701,190.7993266,41.00754492,0.768733079,2,1.3,0.215391458,A. concolor
104,Abco,2,m,n,87.20333333,17.2684466,0.809680808,170.3142136,30.62900075,0.857848874,2,1.4,0.178337472,A. concolor
105,Abco,2,m,n,105.7866667,17.99923077,0.885547733,207.9200783,32.59997942,0.926421055,2,1.5,0.143841036,A. concolor
106,Cade,1,m,n,73.31,11.09984252,1.887766104,103.1242491,12.7302302,2.091955067,2,1.5,0.287682072,C. decurrens
107,Cade,1,m,n,89.564,16.618,1.684467008,103.222797,15.9795189,1.865581896,2,1.4,0.356674944,C. decurrens
108,Cade,1,m,n,87.3825,15.531875,1.72740067,107.1157995,17.00847418,1.840198786,2,1.6,0.223143551,C. decurrens
109,Cade,2,m,n,78.464,12.20061538,0.930576765,100.1945657,12.36603435,1.046080202,2,0.8,0.458145366,C. decurrens
110,Cade,2,m,n,100.53,11.76230769,1.072778017,130.5802596,13.26266885,1.143517409,2,0.9,0.399253848,C. decurrens
111,Cade,2,m,n,89.93666667,9.909593496,1.102801195,128.915404,12.12337366,1.182010555,2,1,0.34657359,C. decurrens
112,Pipo,0,m,n,232.5714286,NA,NA,303.7060875,NA,NA,NA,NA,NA,P. ponderosa
113,Pipo,1,m,n,207.7777778,37.52328125,1.711507559,280.2447341,35.68906225,2.060819009,2,1.7,0.162518929,P. ponderosa
114,Pipo,0,m,n,184,NA,NA,255.5207978,NA,NA,NA,NA,NA,P. ponderosa
115,Pipo,2,m,n,211.5625,62.24138889,0.611750134,278.8862099,64.80024467,0.729747235,2,1.5,0.143841036,P. ponderosa
116,Pipo,2,m,n,229.8333333,108.540625,0.375114941,268.6676816,100.4788848,0.491763814,2,1.3,0.215391458,P. ponderosa
117,Pipo,2,m,n,202.4375,95.573,0.375270422,278.812546,87.43702058,0.579810454,2,1.3,0.215391458,P. ponderosa
118,Abco,1,m,s,78.458,20.48359375,1.342939189,167.5030635,42.47913385,1.371988653,2,1.4,0.356674944,A. concolor
119,Abco,1,m,s,95.36333333,16.40737037,1.759963511,176.0776467,33.74194874,1.652183239,2,1.6,0.223143551,A. concolor
120,Abco,1,m,s,88.7675,20.65403922,1.458109688,165.0772222,42.98765067,1.345500497,2,1.8,0.105360516,A. concolor
121,Abco,2,m,s,90.6925,18.29475771,0.800430054,178.9339855,36.09729961,0.800399441,2,1.3,0.215391458,A. concolor
122,Abco,2,m,s,69.98,20.64233645,0.610432676,133.8258804,36.09657417,0.655170796,2,1.4,0.178337472,A. concolor
123,Abco,2,m,s,97.26,19.86381188,0.794244114,232.1167351,40.69124199,0.870613764,2,1.5,0.143841036,A. concolor
124,Cade,1,m,s,89.345,15.95522222,1.722719093,129.507981,17.82848898,1.982944826,2,1.4,0.356674944,C. decurrens
125,Cade,1,m,s,95.38666667,11.07616766,2.153143063,132.7597257,13.00469629,2.323230376,2,1.4,0.356674944,C. decurrens
127,Cade,2,m,s,79.214,13.61921348,0.88033575,106.5169692,15.71655654,0.956794797,2,1,0.34657359,C. decurrens
128,Cade,2,m,s,98.35333333,10.13301775,1.13638363,125.2930629,14.15702403,1.090222299,2,1,0.34657359,C. decurrens
129,Cade,2,m,s,79.426,11.86234234,0.950728449,96.58914872,13.28183852,0.992034413,2,0.8,0.458145366,C. decurrens
130,Pipo,1,m,s,218.875,113.1019048,0.660211566,296.9957102,109.6121889,0.996769114,2,1.8,0.105360516,P. ponderosa
131,Pipo,1,m,s,186.6111111,111.9875,0.510639574,240.7483699,107.1512504,0.809510889,2,1.7,0.162518929,P. ponderosa
132,Pipo,1,m,s,211.2777778,99.95576923,0.74844597,257.0403454,98.22405913,0.961981872,2,1.8,0.105360516,P. ponderosa
133,Pipo,2,m,s,196.5,40.393875,0.790992133,238.2365963,54.05541362,0.741627292,2,1.4,0.178337472,P. ponderosa
134,Pipo,2,m,s,197.7222222,45.07454545,0.739272721,246.4788556,56.67653875,0.734957932,2,1.5,0.143841036,P. ponderosa
135,Pipo,2,m,s,210.5,69.81886364,0.551790714,256.2799109,76.99907907,0.601238394,2,1.5,0.143841036,P. ponderosa
136,Abco,2,l,n,63.074,17.59327189,0.638396045,130.0070944,32.52107226,0.692850383,2,1.4,0.178337472,A. concolor
137,Abco,2,l,n,65.306,16.87659574,0.67657806,126.4952228,31.31419351,0.698066541,2,1.6,0.111571776,A. concolor
138,Abco,2,l,n,78.54,21.30765957,0.652270718,152.7941295,50.65459487,0.552030756,2,1.6,0.111571776,A. concolor
139,Abco,0,l,s,98.355,NA,NA,218.805,NA,NA,NA,NA,NA,A. concolor
140,Abco,1,l,s,102.695,19.03581699,1.685441121,242.3188034,34.03713128,1.962802203,2,1.7,0.162518929,A. concolor
