tag,spcode,alt,asp,year,l,w,t
14,Cade,m,n,1,14.27,2.1,0.69
14,Cade,m,n,1,19.89,6.81,0.67
14,Cade,m,n,1,15.11,3.7,1.16
14,Cade,m,n,1,25.01,8.27,0.7
14,Cade,m,n,1,23.97,7.93,0.71
14,Cade,m,n,1,18.58,8.52,0.85
14,Cade,m,n,1,28.09,6.49,1.11
14,Cade,m,n,1,31.15,19.45,1.25
14,Cade,m,n,1,29.43,14.99,1.75
14,Cade,m,n,1,2.22,8.61,1.13
14,Cade,m,n,1,38.62,13.49,1.85
14,Cade,m,n,1,15.38,7.49,0.97
14,Cade,m,n,1,20.24,9.72,1.26
14,Cade,m,n,1,18.7,5.53,1.02
14,Cade,m,n,1,18.53,8.82,0.88
14,Cade,m,n,1,22.8,5.95,1.05
14,Cade,m,n,1,16.56,5.7,0.88
14,Cade,m,n,1,13.82,5.72,0.77
14,Cade,m,n,1,6.28,8.02,1.38
14,Cade,m,n,1,17.01,4.19,0.83
14,Cade,m,n,1,14.18,4.17,0.73
14,Cade,m,n,1,16.8,4.97,0.84
14,Cade,m,n,1,11.92,1.53,0.59
14,Cade,m,n,1,18.32,4.38,0.8
14,Cade,m,n,1,17.37,4.27,0.83
14,Cade,m,n,1,11.84,2.67,1.18
14,Cade,m,n,1,10.93,4.1,0.78
14,Cade,m,n,1,15.72,4.08,1.19
14,Cade,m,n,1,9.03,3.32,0.97
14,Cade,m,n,1,12.91,3.07,0.72
14,Cade,m,n,1,10.43,3.53,0.76
14,Cade,m,n,1,11.95,2.47,0.73
14,Cade,m,n,1,9.21,2.83,0.58
14,Cade,m,n,1,8.93,1.59,0.72
14,Cade,m,n,1,3.97,1.25,0.74
14,Cade,m,n,1,10.09,2.96,0.77
14,Cade,m,n,1,9.77,3.74,0.7
14,Cade,m,n,1,6.29,1.65,0.67
14,Cade,m,n,1,12.35,3.97,0.85
14,Cade,m,n,1,8.63,2.67,0.75
14,Cade,m,n,1,7.96,4.86,0.88
14,Cade,m,n,1,11.89,4.77,1.09
14,Cade,m,n,1,5.96,1.7,1.06
14,Cade,m,n,1,6.69,3.7,0.66
14,Cade,m,n,1,10.3,2.72,0.99
14,Cade,m,n,1,7.69,4.79,0.77
14,Cade,m,n,1,7.63,3.34,0.85
14,Cade,m,n,1,6.73,1.74,0.9
14,Cade,m,n,1,9.71,3.5,0.95
14,Cade,m,n,1,7.07,2.05,0.65
14,Cade,m,n,1,11.39,1.68,0.67
14,Cade,m,n,1,13.2,2.21,0.94
14,Cade,m,n,1,12.75,6.95,0.82
14,Cade,m,n,1,11.35,2.04,0.8
14,Cade,m,n,1,9.19,2.14,0.91
14,Cade,m,n,1,7.46,2.27,0.62
14,Cade,m,n,1,7.21,2.44,0.68
14,Cade,m,n,1,9.22,2.02,0.54
14,Cade,m,n,1,4.29,1.74,0.65
14,Cade,m,n,1,11.63,2.59,0.78
14,Cade,m,n,1,6.91,2.63,1.02
14,Cade,m,n,1,8.88,1.54,0.56
14,Cade,m,n,1,5.78,3.51,0.93
14,Cade,m,n,1,6.64,2.65,0.91
14,Cade,m,n,1,7.17,1.86,0.55
14,Cade,m,n,1,11.12,2.35,0.75
14,Cade,m,n,1,5.71,3.38,0.72
14,Cade,m,n,1,7.98,3.01,0.82
14,Cade,m,n,1,10.03,1.89,0.65
14,Cade,m,n,1,5.7,1.87,0.6
14,Cade,m,n,1,7.04,2.97,0.83
14,Cade,m,n,1,4.63,2.98,0.62
14,Cade,m,n,1,7.99,1.89,0.59
14,Cade,m,n,1,4.89,2.85,0.33
14,Cade,m,n,1,7.66,2.27,1
14,Cade,m,n,1,10.92,4.2,0.78
14,Cade,m,n,1,8.09,2.49,0.51
14,Cade,m,n,1,8.95,4.01,0.78
14,Cade,m,n,1,5.13,2.12,0.87
14,Cade,m,n,1,6.04,2.89,0.74
14,Cade,m,n,1,11.3,5.78,0.8
14,Cade,m,n,1,12.16,4.62,0.81
14,Cade,m,n,1,7.16,2.94,0.43
14,Cade,m,n,1,9.6,2.42,0.67
14,Cade,m,n,1,6.32,1.88,0.54
14,Cade,m,n,1,4.02,2.04,0.64
14,Cade,m,n,1,7.41,2.05,0.37
14,Cade,m,n,1,3.71,2.56,0.59
14,Cade,m,n,1,5.01,2.01,0.72
14,Cade,m,n,1,6.24,2.41,0.51
14,Cade,m,n,1,8.17,1.72,0.49
14,Cade,m,n,1,5.26,2.92,1
14,Cade,m,n,1,6.32,2.14,0.53
14,Cade,m,n,1,5.37,1.9,0.5
14,Cade,m,n,1,6.65,1.98,0.79
14,Cade,m,n,1,9.03,3.44,0.84
14,Cade,m,n,1,5.13,1.88,0.51
14,Cade,m,n,1,5.43,2.47,0.29
14,Cade,m,n,1,4.17,2.53,0.76
14,Cade,m,n,1,4.26,1.68,1
14,Cade,m,n,1,7.17,2.19,0.69
14,Cade,m,n,1,5.64,1.8,0.62
14,Cade,m,n,1,4.89,1.85,0.57
14,Cade,m,n,1,6.17,1.78,0.58
14,Cade,m,n,1,5.23,1.31,0.5
14,Cade,m,n,1,6.73,3.07,0.58
14,Cade,m,n,1,5.64,2.66,0.7
14,Cade,m,n,1,6.68,1.83,0.43
14,Cade,m,n,1,5.49,0.61,0.54
14,Cade,m,n,1,6.59,2.53,0.32
14,Cade,m,n,1,6.71,2.02,0.83
14,Cade,m,n,1,5.02,1.8,0.54
14,Cade,m,n,1,7.26,2.31,0.55
14,Cade,m,n,1,4.92,1.9,0.63
14,Cade,m,n,1,7.21,3.43,0.66
14,Cade,m,n,1,5.91,2.5,0.58
14,Cade,m,n,1,5.53,2.78,0.5
14,Cade,m,n,1,6.03,1.97,0.36
14,Cade,m,n,1,7.33,2.4,0.71
14,Cade,m,n,1,4.64,1.57,0.37
14,Cade,m,n,1,4.88,1.68,0.87
14,Cade,m,n,1,4.73,1.58,1.6
14,Cade,m,n,1,5.27,1.64,0.96
14,Cade,m,n,1,3.72,2.36,0.78
14,Cade,m,n,1,7.91,1.91,0.72
14,Cade,m,n,1,4.92,1.96,0.81
14,Cade,m,n,1,3.62,2.09,0.7
14,Cade,m,n,1,3.93,1.72,0.68
14,Cade,m,n,1,4.66,1.64,0.32
14,Cade,m,n,1,4.24,2.06,0.85
14,Cade,m,n,1,4.56,2.3,0.47
20,Cade,l,n,1,54.97,22.42,0.84
20,Cade,l,n,1,68.57,32.7,0.84
20,Cade,l,n,1,52.04,23.72,0.95
20,Cade,l,n,1,35.33,11.14,0.85
20,Cade,l,n,1,28.65,12.89,0.71
20,Cade,l,n,1,26.77,7.94,0.62
20,Cade,l,n,1,27.43,10.77,0.69
20,Cade,l,n,1,22.72,4.75,0.63
20,Cade,l,n,1,18.55,5,0.63
20,Cade,l,n,1,15.83,6.06,0.69
20,Cade,l,n,1,15.58,5.08,0.73
20,Cade,l,n,1,16.42,1.85,0.65
20,Cade,l,n,1,16.04,4.38,0.78
20,Cade,l,n,1,14.09,4.77,0.75
20,Cade,l,n,1,14.81,5.55,0.78
20,Cade,l,n,1,15.8,2.48,0.78
20,Cade,l,n,1,11.94,5.37,0.8
20,Cade,l,n,1,10.89,3.71,0.82
20,Cade,l,n,1,12.03,3.37,0.75
20,Cade,l,n,1,10.43,3.3,0.86
20,Cade,l,n,1,11.04,1.68,0.8
20,Cade,l,n,1,10.44,1.72,0.68
20,Cade,l,n,1,8.89,2.43,0.72
20,Cade,l,n,1,8.15,3.53,0.89
20,Cade,l,n,1,9.86,3.08,1.04
20,Cade,l,n,1,10.11,1.69,0.71
20,Cade,l,n,1,9.8,2.05,0.8
20,Cade,l,n,1,7.51,2.14,0.81
20,Cade,l,n,1,8.12,1.7,0.71
20,Cade,l,n,1,6.76,1.43,0.75
20,Cade,l,n,1,7.12,1.43,0.76
20,Cade,l,n,1,7.92,1.56,0.72
20,Cade,l,n,1,7.16,1.61,0.85
20,Cade,l,n,1,6.63,1.54,0.7
20,Cade,l,n,1,6.49,1.52,0.82
20,Cade,l,n,1,5.48,1.77,0.82
20,Cade,l,n,1,6.77,1.76,0.7
20,Cade,l,n,1,6.12,1.73,0.7
20,Cade,l,n,1,6.32,1.6,0.73
20,Cade,l,n,1,6.3,1.62,0.79
20,Cade,l,n,1,5.54,1.6,0.74
