tr,spcode,bulk,ignit,sustain,spread,combus,consum,b75.numsecs100,b75.heat100,leaf.length,leaf.area,mixture
74,PijeQukeSegi,0.018185859,1.5,485,0.4939,960,88.3359,662,3651.5,92.67908489,1308.813992,TRUE
198,PijeQukeSegi,0.020013333,0.9,453.5,0.4759,890,92.7604,551,2756.5,92.67908489,1308.813992,TRUE
199,PijeQukeSegi,0.01819798,0.7,340.7,0.6245,1060,93.8499,532,3038.5,92.67908489,1308.813992,TRUE
17,Pila,0.022276543,3.8,589.5,0.2675,850,94.458,267.5,2000.5,80.51,646.1538993,FALSE
28,Pila,0.022241975,1.2,505,0.3128,960,92.0293,563,3325,80.51,646.1538993,FALSE
29,Pila,0.023560784,1.1,668.6,0.284,860,92.4323,688.5,3126.5,80.51,646.1538993,FALSE
30,Pila,0.025022222,1.8,779,0.2931,910,89.3872,815.5,3332,80.51,646.1538993,FALSE
31,Pila,0.028565079,2.4,909.5,0.2271,690,59.88,511.5,2134.5,80.51,646.1538993,FALSE
75,PilaPipoQuke,0.02222716,1.5,546.4,0.3759,970,89.3357,689,4458,112.461718,1362.273435,TRUE
190,PilaPipoQuke,0.01819798,0.8,379.2,0.6245,1120,93.1616,602,2232,112.461718,1362.273435,TRUE
200,PilaPipoQuke,0.020004444,0.7,427.1,0.4768,1040,90.5799,683,4113,112.461718,1362.273435,TRUE
58,PilaPipoSegi,0.025033333,1.3,598.6,0.2727,830,85.4194,683,3302.5,112.6832928,851.8567142,TRUE
80,PilaPipoSegi,0.028596825,1.5,702.3,0.2914,910,90.786,558,3080,112.6832928,851.8567142,TRUE
179,PilaPipoSegi,0.025038889,0.7,562,0.3418,910,93.1884,659,3124,112.6832928,851.8567142,TRUE
222,PilaQukeSegi,0.025027778,1,717.4,0.2488,900,90.0333,608,2622.5,69.71575156,984.5310168,TRUE
223,PilaQukeSegi,0.025011111,0.9,520.3,0.3443,880,93.2697,640.5,3284.5,69.71575156,984.5310168,TRUE
224,PilaQukeSegi,0.025033333,1.5,576.1,0.3132,960,90.3462,760.5,4680.5,69.71575156,984.5310168,TRUE
6,Pipo,0.025005556,9.1,806,0.1918,910,93.9791,730,3462.5,192.8888889,1521.321749,FALSE
7,Pipo,0.025011111,7,723.2,0.2135,1015,97.8454,481,2095.5,192.8888889,1521.321749,FALSE
8,Pipo,0.025155556,7.9,701.6,0.2197,1035,98.1449,490,2047,192.8888889,1521.321749,FALSE
9,Pipo,0.025061111,6.6,842.2,0.1827,950,97.2512,608,2558.5,192.8888889,1521.321749,FALSE
10,Pipo,0.025022222,5.1,756,0.2045,960,96.9583,836,4305,192.8888889,1521.321749,FALSE
78,PipoQukeSegi,0.018185859,0.7,399.4,0.7622,910,87.6694,459,2989,107.1753812,1276.253633,TRUE
204,PipoQukeSegi,0.020013333,1,436.2,0.4634,1010,93.1601,537,2816,107.1753812,1276.253633,TRUE
